City,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),Latitude,Longitude
Kahului,79.3,58,1,14.99,20.89,-156.47
Qui Nhon,79.77,79,100,0.58,13.77,109.23
Bambous Virieux,77.49,78,40,14.99,-20.34,57.76
San Policarpo,82.42,65,70,4.5,12.18,125.51
Lüderitz,57.2,87,0,3.36,-26.65,15.16
Khovd,45.39,29,100,3.98,48.01,91.64
Dunedin,56.46,84,100,1.01,-45.87,170.5
Nikolskoye,24.8,100,6,3.47,59.7,30.79
Roseto degli Abruzzi,49.95,70,15,5.82,42.67,14.02
Yuncheng,62.29,24,0,5.86,35.02,110.99
Krasnosel'kup,35.58,97,100,19.44,65.7,82.47
Nivala,23.0,74,90,3.0,63.92,24.97
Marshall,58.44,31,1,4.7,34.38,-86.33
Krasnyy Chikoy,59.16,23,99,3.38,50.36,108.75
Saskylakh,4.95,91,0,7.52,71.92,114.08
Namie,50.5,100,75,1.12,37.48,141.0
Westport,45.54,31,1,5.82,41.14,-73.36
Codrington,58.06,59,95,10.25,-38.27,141.97
Bathsheba,80.6,69,75,16.11,13.22,-59.52
Terenos,73.4,60,34,4.7,-20.44,-54.86
Atuona,82.96,65,44,5.41,-9.8,-139.03
Minot,31.93,47,90,11.41,48.23,-101.3
Frumuşani,42.24,64,0,1.12,44.3,26.33
Wanning,74.03,83,100,16.91,18.8,110.4
Fairlie,47.97,93,90,8.05,55.76,-4.86
Northam,48.38,88,37,1.99,51.03,-4.22
Kalga,63.95,18,0,6.71,50.93,118.9
Tromsø,27.43,74,40,26.4,69.65,18.96
Keetmanshoop,68.0,19,0,1.12,-26.58,18.13
Bako,66.06,59,93,3.38,5.78,36.57
Severo-Kuril'sk,30.72,93,64,7.4,50.68,156.12
Grindavik,35.6,80,40,11.41,63.84,-22.43
Três de Maio,60.39,63,0,9.17,-27.77,-54.24
Akdepe,49.96,93,85,6.93,42.06,59.38
Cockburn Town,79.61,77,0,13.73,21.46,-71.14
Mayo,50.0,57,1,2.28,38.89,-76.51
Vilyuysk,32.95,89,98,13.35,63.76,121.62
Gushikawa,68.0,77,90,16.11,26.35,127.87
Belaya Gora,30.79,98,100,6.91,68.53,146.42
Bonavista,34.0,84,23,14.0,48.65,-53.11
Topchānchi,91.35,12,0,5.19,23.9,86.2
Waitara,61.88,73,94,17.0,-38.92,174.25
Manicoré,74.03,97,98,1.5,-5.81,-61.3
East London,76.1,57,100,8.7,-33.02,27.91
Kaitangata,60.01,76,86,1.99,-46.28,169.85
Bontang,79.34,78,13,3.38,0.13,117.5
Litovko,54.97,37,0,5.99,49.24,135.17
Balikpapan,82.4,83,20,4.7,-1.27,116.83
Upernavik,19.87,88,100,1.63,72.79,-56.15
Pisco,73.65,78,75,8.05,-13.7,-76.22
Taicheng,52.79,21,0,8.59,38.73,113.23
Rezh,40.8,79,95,4.65,57.37,61.4
Methven,68.99,41,100,11.99,-43.63,171.65
Lakes Entrance,55.99,73,56,4.0,-37.88,147.98
Kavieng,84.36,69,95,3.56,-2.57,150.8
Bahía Blanca,61.34,78,99,12.03,-38.72,-62.27
Fairbanks,44.55,41,1,5.82,64.84,-147.72
Kibala,77.0,65,99,3.51,9.11,18.35
Kupang,84.2,70,75,3.36,-10.17,123.58
Zeya,51.67,51,89,2.98,53.75,127.27
Yanam,82.4,69,20,4.83,16.73,82.22
Longyearbyen,-7.6,69,20,5.82,78.22,15.64
Qaqortoq,46.4,36,100,39.15,60.72,-46.03
Olean,34.74,59,1,3.02,42.08,-78.43
Nabire,90.25,53,86,3.74,-3.37,135.48
Anchorage,39.78,27,1,5.82,61.22,-149.9
Dingle,87.64,56,23,6.91,11.0,122.67
Santo Antônio do Leverger,78.8,69,0,2.24,-15.87,-56.08
Yambio,68.56,80,100,3.06,4.57,28.4
Ribeira Grande,61.5,74,0,7.9,38.52,-28.7
Te Anau,56.39,75,80,3.71,-45.42,167.72
Inta,17.8,94,99,5.12,66.03,60.17
Zhicheng,57.0,74,0,4.56,30.3,111.5
Hasaki,54.59,76,75,11.41,35.73,140.83
Ust-Nera,26.82,86,100,7.05,64.57,143.2
Kiryat Gat,51.03,82,1,3.36,31.61,34.76
Faya,62.58,67,38,4.18,18.39,42.45
Havelock,56.14,58,1,4.7,34.88,-76.9
Bengkulu,79.36,81,72,5.48,-3.8,102.27
Quatre Cocos,77.52,78,40,14.99,-20.21,57.76
San Patricio,82.4,74,40,11.83,19.22,-104.7
Ponta do Sol,58.23,67,40,12.75,32.67,-17.1
Vestmanna,39.2,80,99,24.16,62.16,-7.17
Natal,80.62,78,40,8.05,-5.79,-35.21
Anju,57.74,37,0,11.92,39.62,125.66
Kharan,81.7,21,86,5.53,28.58,65.42
Guaraniaçu,52.75,48,0,2.37,-25.1,-52.88
Kelso,58.28,38,1,9.17,46.15,-122.91
Borogontsy,33.42,91,100,5.88,62.67,131.17
Seymchan,27.45,94,91,4.88,62.88,152.43
Jiangkou,60.8,87,75,6.71,25.49,119.2
Aix-les-Bains,46.47,70,0,2.24,45.68,5.92
Sardārshahr,85.82,27,69,4.79,28.43,74.48
Srandakan,79.84,76,78,2.24,-7.94,110.25
Jacqueville,78.8,88,40,11.41,5.21,-4.41
Balkanabat,53.67,59,0,6.31,39.51,54.37
Wamba,76.42,44,100,2.77,8.93,8.6
Yichang,67.64,29,0,4.85,30.71,111.28
Saint-Nazaire,51.76,93,0,3.36,47.28,-2.2
Klaksvík,39.2,80,99,24.16,62.23,-6.59
Susa,67.24,34,8,3.78,32.19,48.24
Karasuk,39.94,68,0,9.4,53.74,78.04
Nālūt,64.71,28,0,17.38,30.33,10.85
Itacaré,80.6,94,40,2.24,-14.28,-39.0
Callaguip,84.2,70,75,4.7,18.07,120.49
Nouakchott,74.95,53,0,17.72,18.09,-15.98
Taoudenni,86.47,12,0,9.42,22.68,-3.98
Avera,57.99,58,1,4.59,33.19,-82.53
Charter Township of Clinton,50.41,75,75,8.05,42.59,-82.92
Semīrom,39.81,40,27,7.49,31.42,51.57
Sharjah city,84.36,33,67,6.93,25.36,55.4
Mercedes,61.39,92,48,6.78,-34.65,-59.43
Hamilton,54.36,37,20,6.93,39.18,-84.53
Muros,52.88,93,90,3.36,42.78,-9.06
Monterey,56.66,76,90,8.05,36.25,-121.25
Qasigiannguit,26.6,73,100,14.99,68.82,-51.19
Maragogi,78.94,80,63,4.9,-9.01,-35.22
Basna,93.45,12,0,3.2,21.28,82.82
Vostok,43.97,41,0,7.4,46.49,135.88
Monte Patria,57.81,63,100,0.92,-30.69,-70.95
Kaka,59.09,70,100,6.44,37.35,59.61
Adrar,80.02,17,0,10.36,20.5,-10.07
Kostanay,41.0,75,65,8.95,53.17,63.58
Leningradskiy,17.37,86,74,2.91,69.38,178.42
Sept-Îles,35.02,47,20,8.05,50.2,-66.38
Verkhoyansk,34.14,86,74,4.68,67.54,133.38
Kapit,89.73,55,27,2.98,2.02,112.93
Wellington,62.46,68,90,26.4,-41.29,174.78
San Miguel,80.89,65,7,1.54,13.48,-88.18
Dikson,14.0,96,100,14.5,73.51,80.55
Midland,78.49,16,1,9.17,32.0,-102.08
Kollam,80.6,83,20,3.36,8.88,76.6
São Filipe,74.5,75,35,9.84,14.9,-24.5
Bishoftu,60.1,39,36,5.55,8.75,38.98
Santiago del Estero,63.59,58,19,8.28,-27.8,-64.26
Sur,79.95,58,1,14.14,22.57,59.53
Fernie,27.97,42,75,6.93,49.5,-115.07
Sinnamary,78.96,79,100,13.06,5.38,-52.95
Cherskiy,23.36,96,80,15.97,68.75,161.3
Salalah,80.6,78,40,11.41,17.02,54.09
Krasnoturansk,32.0,61,0,4.47,54.32,91.56
Bariloche,39.2,64,0,5.82,-41.15,-71.31
Conakry,80.08,83,6,5.82,9.54,-13.68
Teófilo Otoni,70.25,85,51,1.97,-17.86,-41.51
Atbasar,41.77,64,100,13.13,51.8,68.33
Hofn,30.72,89,5,20.24,64.25,-15.21
Airai,66.65,69,97,0.94,-8.93,125.41
Bereda,50.88,100,75,3.36,43.27,-7.54
Chicama,76.12,66,76,6.24,-7.84,-79.15
Kruisfontein,60.84,54,100,8.32,-34.0,24.73
Ilulissat,26.6,73,95,14.99,69.22,-51.1
Aykhal,26.6,68,40,8.95,66.0,111.5
Kidal,87.08,18,16,6.98,18.44,1.41
Cidreira,65.61,69,6,5.23,-30.18,-50.21
Krasne,35.6,51,87,6.71,49.91,24.61
Esil,43.07,63,98,10.71,51.96,66.4
Nerchinskiy Zavod,62.83,19,0,5.19,51.31,119.61
Kumul,64.92,14,42,7.49,42.8,93.45
Ndélé,73.09,76,90,4.25,8.41,20.65
Doha,82.13,58,100,5.82,25.29,51.53
Dwārka,80.11,74,33,13.44,22.24,68.97
Nanma,59.13,28,0,20.49,36.18,118.16
Luena,59.34,67,19,3.74,-11.78,19.92
Touros,78.8,88,20,3.36,-5.2,-35.46
Coyhaique,46.4,61,99,4.7,-45.58,-72.07
Astoria,52.66,62,20,9.17,46.19,-123.83
Canutama,75.2,94,100,3.94,-6.53,-64.38
Lagan,43.38,63,14,12.8,45.39,47.37
Rawson,55.98,38,0,5.28,-43.3,-65.1
Tessalit,77.38,14,0,4.32,20.2,1.01
Igarka,35.78,98,100,17.43,67.47,86.58
Vila do Maio,73.4,78,46,10.29,15.13,-23.22
Novoagansk,37.13,97,100,8.7,61.94,76.66
Kysyl-Syr,32.63,91,100,12.55,63.9,122.76
Bechem,73.8,87,99,2.35,7.09,-2.02
Port Elizabeth,66.2,52,78,5.82,-33.92,25.57
Laguna,64.42,72,1,12.75,38.42,-121.42
Hokitika,59.4,80,100,20.02,-42.72,170.97
Acaraú,78.62,87,100,4.34,-2.89,-40.12
Boguchany,43.57,61,0,1.19,58.38,97.45
Amapá,73.42,94,100,2.04,1.0,-52.0
Jadu,53.49,40,52,5.37,31.95,12.03
Sulangan,81.34,74,23,6.6,11.14,123.72
Tupã,67.17,70,14,6.04,-21.93,-50.51
Terrace,53.6,16,5,6.93,54.52,-128.6
Āsbe Teferī,63.88,52,93,1.95,9.08,40.87
Pedernales,79.41,67,13,5.39,18.04,-71.74
Isangel,84.2,66,20,3.36,-19.55,169.27
Fort Nelson,39.2,27,40,11.41,58.81,-122.7
Aswān,64.4,25,5,11.41,24.09,32.91
Talaya,22.12,84,100,1.83,61.38,152.75
Ixtapa,76.5,69,75,10.29,20.7,-105.2
Ayan,35.53,81,86,1.72,56.45,138.17
Pyn U Lwin,75.2,57,20,2.17,22.03,96.47
Bibiani,73.8,91,99,1.57,6.46,-2.32
Kavaratti,84.96,66,63,3.85,10.57,72.64
Mehtar Lām,60.8,87,1,4.59,34.67,70.21
Mahabalipuram,80.8,88,40,2.24,12.63,80.17
Moerai,82.49,74,69,1.54,-22.43,-151.33
Huehuetán,86.0,74,75,6.93,15.02,-92.37
Camacha,61.32,67,40,11.41,33.08,-16.33
Simao,83.12,19,65,3.44,22.79,100.97
Margate,51.31,87,35,3.36,51.38,1.39
Okhotsk,30.88,94,53,7.67,59.38,143.3
Pangnirtung,25.32,88,100,8.16,66.15,-65.71
Wajima,51.8,56,75,9.17,37.4,136.9
Porto-Novo,84.2,79,40,8.05,6.5,2.6
Sakakah,59.0,41,0,7.67,29.97,40.21
Kurkino,31.15,81,0,13.78,53.43,38.66
San Andrés,82.4,83,40,12.75,12.58,-81.7
Kalabo,63.68,69,61,4.45,-14.97,22.68
Guerrero Negro,64.11,61,3,20.54,27.98,-114.06
Bruneck,41.56,69,5,5.82,46.8,11.94
Port Hueneme,62.15,82,1,14.99,34.15,-119.2
Constitución,52.57,81,75,10.02,-35.33,-72.42
Vredendal,64.99,84,87,9.82,-31.67,18.5
Baie-Comeau,35.62,31,1,5.82,49.22,-68.15
Batī,64.4,56,81,2.75,11.18,40.02
Mauá,65.66,82,90,6.93,-23.67,-46.46
Kayerkan,33.8,93,75,33.55,69.35,87.76
Hervey Bay,82.4,32,0,6.93,-25.3,152.85
Tiksi,6.48,90,94,19.98,71.69,128.87
Clyde River,1.4,91,40,16.11,70.47,-68.59
Esim,80.35,84,75,2.42,4.87,-2.24
Homer,40.84,28,90,8.05,59.64,-151.55
Ngunguru,68.2,84,98,14.0,-35.62,174.5
Pacific Grove,57.06,76,90,6.93,36.62,-121.92
Virginia Beach,51.96,70,1,7.38,36.85,-75.98
Rengo,59.0,77,90,2.24,-34.42,-70.87
Buraidah,64.4,45,0,18.34,26.33,43.98
Turtas,40.82,84,1,4.47,58.94,69.13
Östersund,35.6,84,100,11.41,63.18,14.64
Mnogovershinnyy,33.01,78,28,9.26,53.94,139.92
Sunel,89.37,18,0,6.73,24.37,75.97
Newnan,57.85,55,1,4.41,33.38,-84.8
Honiara,87.8,70,75,6.93,-9.43,159.95
Andenes,25.27,73,100,10.29,69.31,16.12
Gainsborough,48.58,93,30,9.17,53.38,-0.77
San Quintín,59.65,81,20,15.14,30.48,-115.95
Svetlaya,38.46,73,12,3.0,46.54,138.33
Boma,74.48,87,100,2.33,7.08,-2.17
Terney,45.68,58,0,3.71,45.05,136.61
Ahome,68.11,43,40,16.11,25.92,-109.18
Zacatecoluca,79.54,79,75,4.7,13.5,-88.87
Abu Samrah,50.85,73,0,6.51,35.3,37.18
Nhulunbuy,84.25,77,100,11.72,-12.23,136.77
Bandarbeyla,80.92,74,48,3.94,9.49,50.81
Esperance,84.2,35,100,19.46,-33.87,121.9
Binzhou,55.13,38,0,11.68,37.37,118.02
Opuwo,66.52,60,10,4.9,-18.06,13.84
Bara,79.03,31,100,0.4,10.37,10.73
Narsaq,46.4,36,100,39.15,60.92,-46.05
Rocha,55.47,86,0,4.43,-34.48,-54.33
Arteaga,67.39,42,36,3.89,18.47,-102.42
Vanino,40.46,66,73,5.19,49.09,140.25
Soma,41.0,86,24,2.24,39.19,27.61
Bato,85.64,65,34,3.44,13.35,123.37
Nizhnevartovsk,37.4,98,100,6.71,60.93,76.55
Wad Rāwah,73.08,17,96,14.79,15.16,33.14
Bodden Town,82.49,79,20,4.7,19.28,-81.25
Esna,62.6,42,17,2.24,25.29,32.55
Lata,54.59,93,75,3.36,40.16,-8.33
Bilma,75.38,17,97,6.24,18.69,12.92
Shingū,53.6,81,75,4.7,33.73,135.98
Umluj,66.97,51,0,8.5,25.02,37.27
Nemuro,35.6,55,75,2.24,43.32,145.57
Machachi,52.47,81,75,2.24,-0.5,-78.57
Härnösand,36.61,100,100,8.05,62.63,17.94
Road Town,80.33,74,1,4.7,18.42,-64.62
Byron Bay,72.5,53,40,17.22,-28.65,153.62
Vágur,41.29,78,99,29.19,61.47,-6.81
Sol'-Iletsk,42.44,61,89,13.69,51.16,54.99
Zyryanka,30.45,97,22,15.26,65.75,150.85
Aktau,42.8,93,0,4.47,43.65,51.2
Zaliztsi,34.97,69,80,5.97,49.79,25.37
Amahai,84.52,69,34,0.83,-3.33,128.92
Fergus Falls,34.84,55,75,14.99,46.28,-96.08
Mareeba,86.14,66,100,4.7,-17.0,145.43
Peterhead,47.32,70,75,8.05,57.51,-1.8
Arrondissement du Havre,53.76,76,9,1.12,49.58,0.33
Nampula,63.18,88,59,3.22,-15.12,39.27
Sorong,84.69,73,28,1.59,-0.88,131.25
Erzin,56.62,82,20,6.93,36.96,36.2
North Bend,50.68,76,20,17.22,43.41,-124.22
Săhăteni,41.63,56,18,5.82,45.03,26.52
Elban,53.31,40,0,4.03,50.1,136.51
Agropoli,54.36,78,0,4.0,40.35,15.0
Bastrop,66.31,82,75,7.99,32.76,-91.87
Lagoa,61.14,77,0,10.92,39.05,-27.98
Eureka,54.16,71,1,16.11,40.8,-124.16
Sabaudia,54.1,55,0,3.0,41.3,13.03
Neuruppin,41.68,72,94,2.24,52.93,12.8
Alihe,62.6,23,0,5.46,50.57,123.72
Kameyama,53.6,58,75,5.82,34.85,136.45
Kenai,39.76,44,20,13.87,60.55,-151.26
Thompson,17.6,72,90,14.99,55.74,-97.86
Baijiantan,58.91,31,64,3.06,45.63,85.18
Mehamn,24.46,94,100,8.48,71.04,27.85
Marabu,83.16,83,75,2.24,4.41,114.01
Paranaguá,59.0,100,90,5.82,-25.52,-48.51
Rongcheng,55.99,72,0,8.95,30.63,117.85
Qiongshan,69.8,83,90,20.13,20.01,110.35
Egvekinot,19.51,87,17,0.4,66.32,-179.17
Tambovka,55.4,28,0,11.18,50.1,128.05
Ocós,86.0,74,75,6.93,14.51,-92.19
Olafsvik,35.1,84,58,28.63,64.89,-23.71
Ahipara,68.9,73,79,20.09,-35.17,173.17
Pemba,77.0,78,20,9.17,-12.97,40.52
Whitehorse,41.0,25,5,1.41,60.72,-135.05
Kununurra,86.0,58,100,8.05,-15.77,128.73
Ubatuba,69.98,71,48,3.74,-23.43,-45.07
Snezhnogorsk,15.8,85,56,2.24,69.19,33.25
Samarai,83.52,59,81,7.87,-10.62,150.67
Vlagtwedde,44.71,86,68,1.12,53.03,7.11
Okha,30.54,97,58,14.52,53.57,142.95
Paamiut,40.15,72,100,12.35,61.99,-49.67
El Seibo,78.8,83,20,5.82,18.76,-69.04
The Valley,80.55,78,20,9.17,18.22,-63.06
Rouvroy,50.05,71,4,3.31,50.39,2.9
Poya,80.19,68,90,3.94,-21.35,165.15
Piaçabuçu,79.65,82,85,8.59,-10.41,-36.43
Chara,38.52,60,100,2.73,56.91,118.26
Inuvik,23.0,49,5,6.93,68.35,-133.72
Maniitsoq,38.17,74,87,7.52,65.42,-52.9
Guilin,53.6,71,75,4.47,25.28,110.29
Halmstad,45.43,81,100,10.29,56.67,12.86
Churapcha,33.06,92,100,7.25,62.0,132.43
Carnarvon,82.4,61,7,18.34,-24.87,113.63
Saint Anthony,52.03,40,90,14.99,45.02,-93.22
Abaza,41.9,51,0,3.83,52.66,90.09
Hambantota,83.28,74,16,9.6,6.12,81.12
Coswig,42.1,69,28,3.36,51.13,13.58
Birin,71.8,20,23,2.93,26.89,88.07
Swan Hill,63.48,39,0,8.12,-35.34,143.55
Biak,84.0,64,4,3.22,-0.91,122.88
Weligama,83.48,73,24,3.2,5.97,80.42
Uyutnoye,44.44,66,0,8.08,45.2,33.3
Broadford,54.93,58,75,14.99,-37.2,145.07
Mount Isa,84.2,13,1,11.41,-20.73,139.5
Manta,78.8,78,90,2.24,-0.95,-80.73
Guadalupe,79.77,65,75,14.99,25.68,-100.25
San Ignacio,82.0,84,11,5.01,17.16,-89.07
Harwich,49.64,82,24,4.09,51.94,1.28
Petropavlovsk-Kamchatskiy,39.2,48,40,6.71,53.05,158.65
Puerto El Triunfo,84.2,79,75,4.7,13.28,-88.55
Puxinanã,67.73,85,57,6.71,-7.16,-35.96
Bacolod City,87.89,54,4,2.86,10.67,122.95
Muzhi,18.16,92,81,3.02,65.37,64.67
Russell,59.68,67,1,4.7,32.35,-85.2
Namatanai,84.29,71,98,3.13,-3.67,152.43
Mogadishu,83.23,74,1,9.64,2.04,45.34
Reconquista,59.43,69,2,5.3,-29.15,-59.65
Bam,73.71,25,100,8.61,29.11,58.36
San Cristobal,68.31,61,65,2.24,7.77,-72.22
Methóni,54.03,65,19,5.82,36.82,21.7
Zatoka,44.6,42,0,8.95,46.07,30.47
Pingliang,50.97,23,0,8.08,35.54,106.69
Manggar,87.4,63,60,3.78,-2.88,108.27
Lompoc,59.11,76,90,10.29,34.64,-120.46
Sirte,58.35,64,0,7.81,31.21,16.59
Khilok,58.87,21,70,10.51,51.37,110.47
Chifeng,59.5,22,3,18.9,42.27,118.96
Lima,71.6,83,75,11.41,-12.04,-77.03
Koulamoutou,72.0,88,100,2.21,-1.13,12.47
Ellensburg,55.22,35,20,19.46,47.0,-120.55
Pangai,80.6,69,75,6.93,-19.8,-174.35
Lieksa,24.91,92,35,4.94,63.32,30.02
Caucayá,73.4,91,26,1.45,-0.19,-74.78
Mae Sot,78.8,44,40,1.28,16.72,98.57
Cestas,55.13,76,99,5.82,44.74,-0.68
Teya,25.86,94,0,3.42,60.38,92.63
Riverton,53.98,66,40,6.93,40.52,-111.94
Salinópolis,81.48,82,100,8.08,-0.61,-47.36
Basoko,71.42,87,77,3.71,1.24,23.62
Gamba,77.54,88,100,10.67,-2.65,10.0
Ubari,66.18,25,0,11.23,26.59,12.78
Bilibino,13.98,88,94,3.67,68.05,166.44
Meulaboh,84.94,72,56,1.88,4.14,96.13
Hobyo,82.49,72,22,8.08,5.35,48.53
Pontianak,77.0,94,20,4.83,-0.03,109.33
São João da Barra,71.51,87,100,12.17,-21.64,-41.05
Oyama,53.28,71,75,9.17,36.3,139.8
Nizhniy Kuranakh,37.2,73,100,7.96,58.84,125.49
Parker,65.89,93,75,11.41,32.77,-97.8
